Tittle,Description,availability,Brand,cat1,cat2,cat3,cat4, price,Image,url
Lacalut Mouthwash 300 ml from Activ,Lacalut Active Mouthwash Lacalut Active Mouthwash Lacalut Fresh Mouthwash deeply cleanses to give you fresh breath and prevents plaque build-up.Prevents plaque formation...,in stock,Activ,Oral care,mouth wash,,,22.6,Lacalut Mouthwash 300 ml from Activ.png,https://draljamal.com/DmApbl
,,,,,,,,,,
"Adidas Ice Dive Shower Gel for Men, 250ml","Hydrates the body Nourishes the hair shaftIngredients:Citrus,Herbal,Amber Refreshing formula Designed to express a unique sense of freedom, the Adidas Ice Dive Shower Gel combines...",out of stock,adidas,Bath products,Shower Gel,,,14,"Adidas Ice Dive Shower Gel for Men, 250ml.png",https://draljamal.com/KNyPxb
,,,,,,,,,,
Champions Edition Shower Gel For Body And Hair Blue 250ml,"Unleash your full potential, whether it's sports or heavy exercises with this product, a wonderful blend of geranium and jasmine appears with spicy coriander to give the vitality of a delicate masculinity...",out of stock,adidas,Bath products,Shower Gel,,,14,Champions Edition Shower Gel For Body And Hair Blue 250ml.png,https://draljamal.com/gPVAYO
,,,,,,,,,,
"adidas edipure 3 in 1 shower gel for body, hair and face - 400 ml","Formulated with invigorating invigorating capsules.The adidas shower gel line helps maintain the natural balance of your skin and revive your senses.A bright citrusy, fruity fragrance with a scent of gardenia and bergamot...",out of stock,adidas,Bath products,Shower Gel,,,18,"adidas edipure 3 in 1 shower gel for body, hair and face - 400 ml.png",https://draljamal.com/WnBRyn
,,,,,,,,,,
"Adidas Ice Dive Shower Gel for Men, 400ml","Hydrates the body Nourishes the hair shaftIngredients:Citrus,Herbal,Amber Refreshing formula Designed to express a unique sense of freedom, the Adidas Ice Dive Shower Gel combines...",out of stock,adidas,Bath products,Shower Gel,,,19.6,"Adidas Ice Dive Shower Gel for Men, 400ml.png",https://draljamal.com/eZKAlO
,,,,,,,,,,
Adidas shower gel for body and face - 400 ml climacool,"Whether you love sports or live it up, adidas Body Care unlocks your full potential. Restore the feeling of freshness under the shower is not enough, and you want to use the special shower gel...",out of stock,adidas,Bath products,Shower Gel,,,19.6,Adidas shower gel for body and face - 400 ml climacool.png,https://draljamal.com/ozPRpB
,,,,,,,,,,
"Pure Gym 3 in 1 Shower Gel for Hair, Face and Body - 250ml","Moisturizes the body Nourishes the hair shaft Gentle on the face Developed in collaboration with athletes This refreshing 3-in-1 shower gel formula hydrates your body, respects your face and moisturizes your hair.The shower gel contains...",out of stock,adidas,Bath products,Shower Gel,,,15,"Pure Gym 3 in 1 Shower Gel for Hair, Face and Body - 250ml.png",https://draljamal.com/YGwevp
,,,,,,,,,,
adidas Champions Edition Shower Gel 3 in 1 400 ml,"Formulated with stimulating active capsules3 in 1 multi-benefit formula: For body, hair and face Dermatologically tested, pH-balanced formula, suitable for use...",out of stock,adidas,Bath products,Shower Gel,,,19.6,adidas Champions Edition Shower Gel 3 in 1 400 ml.png,https://draljamal.com/WoKdWW
,,,,,,,,,,
"Pure Gym 3 in 1 Shower Gel for Hair, Face and Body - 400 ml","Moisturizes the body Nourishes the hair shaft Gentle on the face Developed in collaboration with athletes This refreshing 3-in-1 shower gel formula hydrates your body, respects your face and moisturizes your hair.The shower gel contains...",in stock,adidas,Bath products,Shower Gel,,,19.6,"Pure Gym 3 in 1 Shower Gel for Hair, Face and Body - 400 ml.png",https://draljamal.com/qzWopN
,,,,,,,,,,
Adidas Adipower Shower Gel - 250ml,A refreshing scented shower gel that cleanses the skin while providing all-day freshness.Effectively cleanses the skin and hair of impurities and any product residue.It consists of activating capsules for maximum performance.It...,in stock,adidas,Bath products,Shower Gel,,,14,Adidas Adipower Shower Gel - 250ml.png,https://draljamal.com/jqnRYm
,,,,,,,,,,
"African Pride Moisture Miracle Honey and Coconut Oil Shampoo - for Natural Coils and Curls, by African Pride - 354 ml",Proven Hair Care - African Pride Miracle Honey & Coconut Oil Shampoo gently cleanses natural hair to remove dirt and buildup without stripping away natural oils. M...,out of stock,African Pride,hair care,hair shampoo,,,42.77,"African Pride Moisture Miracle Honey and Coconut Oil Shampoo - for Natural Coils and Curls, by African Pride - 354 ml.png",https://draljamal.com/ObXeyr
,,,,,,,,,,
African Pride Leave-In Conditioner with Shea Butter - 425g,"This deeply hydrating treatment hydrates and nourishes hair, for added control, softness and shine. African Pride Women's Conditioner Enriched with Shea Butter is a medicated moisturizer...",out of stock,African Pride,hair care,balm,,,32.76,African Pride Leave-In Conditioner with Shea Butter - 425g.png,https://draljamal.com/bnAGjY
,,,,,,,,,,
"African Pride Coconut Milk and Honey Leave-In Conditioner - Refreshes and Smoothes Natural Curls and Curls, Hydrates and Illuminates Hair by African Pride - 237 ml","PROVEN HAIR CARE - A lightweight blend of African Pride Moisture Miracle Conditioner with Coconut Milk and Honey leaves on hair smoothing, hydrating and conditioning natural hair while adding shine...",out of stock,African Pride,hair care,balm,,,42.77,"African Pride Coconut Milk and Honey Leave-In Conditioner - Refreshes and Smoothes Natural Curls and Curls, Hydrates and Illuminates Hair by African Pride - 237 ml.png",https://draljamal.com/bnAGnX
,,,,,,,,,,
Coconut Oil and Baobab Oil Moisturize and Strengthen Hair Cream by African Pride - 425g,African Pridemoisture Miracle Coconut Oil & Baobab Oil Moisturizing & Strengthening Leave-In Cream 15 ozOur Story: Moisture Miracle was created with...,in stock,African Pride,hair care,hair cream,,,42.77,Coconut Oil and Baobab Oil Moisturize and Strengthen Hair Cream by African Pride - 425g.png,https://draljamal.com/vBoNoo
,,,,,,,,,,
Shea Butter and Flaxseed Oil Moisturizes and Defines Wrinkle Cream by African Pride - 340g,African Pride Miracle Moisturizing Shea Butter & Flaxseed Oil Moisturizes & Defines Wrinkle Cream 12 ozOur Story: Moisture Miracle was created just for you. Our collection is naturally designed...,in stock,African Pride,hair care,hair cream,,,42.77,Shea Butter and Flaxseed Oil Moisturizes and Defines Wrinkle Cream by African Pride - 340g.png,https://draljamal.com/nXRNDy
,,,,,,,,,,
African Pride Aloe Vera and Coconut Detangling Detangling Moisturizer Coconut Water and Pre-Shampoo Conditioner - 340g,AFRICAN PRIDE MOISTURE MIRACLE ALOE & COCONUT WATER DETING & CONDITION SHAMPOO 12 ozHelps Reduce Natural Coil Breakage & CurlsThis...,in stock,African Pride,hair care,balm,,,42.77,African Pride Aloe Vera and Coconut Detangling Detangling Moisturizer Coconut Water and Pre-Shampoo Conditioner - 340g.png,https://draljamal.com/lzRNwd
,,,,,,,,,,
"Moroccan Clay Mask With Heat Activated Shea Butter - Natural Hair Rolls & Curls, Detoxifies & Smoothes African Pride - 340g",PROVEN HAIR CARE - African Pride Moisture Miracle Moroccan Clay Mask & Thermal Activated Shea Butter detoxifies and restores hair by removing impurities and product buildup.&n...,in stock,African Pride,hair care,hair mask,,,42.77,"Moroccan Clay Mask With Heat Activated Shea Butter - Natural Hair Rolls & Curls, Detoxifies & Smoothes African Pride - 340g.png",https://draljamal.com/qXoNpV
,,,,,,,,,,
African Pride 3 in 1 Curls Training System Defines Curls Keeps Shape Moisturizes Flaxseed Oil and Shea Butter from African Pride - 170g,"Hair Care Fixture - African Pride Moisture Miracle Gel n Cream uses a 3-in-1 formula, including flaxseed oil and shea butter, to provide superior curl definition, hydration, and...",in stock,African Pride,hair care,hair cream,,,42.77,African Pride 3 in 1 Curls Training System Defines Curls Keeps Shape Moisturizes Flaxseed Oil and Shea Butter from African Pride - 170g.png,https://draljamal.com/yyNXVb
,,,,,,,,,,
African Pride olive oil miracle growth from African Pride - 237 ml,"Our Growth Strengthening Oil can be used regularly to help stop breakage and dryness, this multi-purpose oil is ideal for dry hair and scalp.",in stock,African Pride,hair care,hair oils,,,26.39,African Pride olive oil miracle growth from African Pride - 237 ml.png,https://draljamal.com/Ejbxwy
,,,,,,,,,,
African Pride Miracle of African Olive Moisturizing Lotion with Daily Moisturizing Oil - 355 ml,"African Pride Olive Miracle Anti-Breakage Moisturizing Lotion, infused with extra virgin olive oil for silky smooth hair, deep conditioning and a healthy, moisture-rich scalp. use...",in stock,African Pride,hair care,hair cream,,,26.39,African Pride Miracle of African Olive Moisturizing Lotion with Daily Moisturizing Oil - 355 ml.png,https://draljamal.com/BExngY
,,,,,,,,,,
African Pride Natural Detangling Moisturizing Shampoo - 355 ml,"Shea Butter Miracle Moisture Detangling Shampoo gives incredible manageability, smoothness and shine to naturally curly, wavy, frizzy and mixed hair, perfect for fun...",in stock,African Pride,hair care,shampoo,,,32.76,African Pride Natural Detangling Moisturizing Shampoo - 355 ml.png,https://draljamal.com/NOQdoq
,,,,,,,,,,
African Pride Olive Miracle Detangling Shampoo 355 ml,"African Pride Olive Miracle Detangling Shampoo Hair tangles with each other can be a frustrating thing for every modern woman with attractiveness and elegance, a lot of attention every morning...",in stock,African Pride,hair care,hair shampoo,,,22.75,African Pride Olive Miracle Detangling Shampoo 355 ml.png,https://draljamal.com/YxGVAo
,,,,,,,,,,
African Pride Detangling Moisturizing Conditioner With Olive Oil 355 ml,African Pride Olive Oil Detangling Moisturizing ConditionerOur moisture-rich baby cream formulas contain the finest virgin olive oil and herbal extracts used...,in stock,African Pride,hair care,balm,,,22.75,African Pride Detangling Moisturizing Conditioner With Olive Oil 355 ml.png,https://draljamal.com/EmOgyK
,,,,,,,,,,
African Pride Detangling Leave-In Conditioner With Olive Oil 425 gm,African Pride Detangling Leave-In Conditioner With Olive Oil African Pride Dream Kids Olive Miracle Detangling and Moisturizing Conditioner...,in stock,African Pride,hair care,balm,,,22.75,African Pride Detangling Leave-In Conditioner With Olive Oil 425 gm.png,https://draljamal.com/ROYxvN
,,,,,,,,,,
Agadir Argan Oil -118ml,"Argan oil from Agadir 100% pure treats and moisturizes hair and skin.Features and benefits: Enhanced with vitamin E and antioxidants.Treats, nourishes and moisturizes hair and gives it more luster and shine...",out of stock,Agadir,hair care,hair oils,,,68,Agadir Argan Oil -118ml.png,https://draljamal.com/PnyQge
,,,,,,,,,,
Agadir Argan Oil Daily Moisture Smoothing Conditioner - 366ml,"Agadir Argan Oil Daily Smoothing Conditioner: Agadir Daily Smoothing and Hydrating Conditioner is free of cellophates and parabens, and is gentle on all hair types, including...",in stock,Agadir,hair care,balm,,,50,Agadir Argan Oil Daily Moisture Smoothing Conditioner - 366ml.png,https://draljamal.com/dmzGQa
,,,,,,,,,,
Healing Argan Oil 66.5ml,Moisturizes and conditions hair.Gives your hair shine and softness to look healthy.Ideal for all hair types.,in stock,Agadir,hair care,hair oils,,,58,Healing Argan Oil 66.5ml.png,https://draljamal.com/ozPPPY
,,,,,,,,,,
Agadir Argan Oil Daily Moisture Smoothing Shampoo - 366ml,"Agadir Argan Oil Daily Moisturizing Smoothing Shampoo: Agadir Daily Moisturizing Shampoo is free of sulfates and parabens, and is gentle on normal and color-treated hair.The formula...",in stock,Agadir,hair care,shampoo,,,76,Agadir Argan Oil Daily Moisture Smoothing Shampoo - 366ml.png,https://draljamal.com/GNjjKg
,,,,,,,,,,
Agadir Argan Hair Mask 236 gm,"Product Description: This mask is specially designed to moisturize and repair damaged hair and give hair softness from its roots to its ends.Hair is exposed to a lot of dust, dirt and pollution, and this can...",in stock,Agadir,hair care,hair mask,,,77.81,Agadir Argan Hair Mask 236 gm.png,https://draljamal.com/edYjwd
,,,,,,,,,,
Agadir shampoo moisturizing and restoring hair with extracts of hemp seed and red grape 430 ml,"Agadir Hemp & Red Wine Shampoo is nature and science at its best! Infused with hemp seed oil and wine extract (resveratrol), it gently cleanses and hydrates without stripping your color. In addition...",in stock,Agadir,hair care,shampoo,,,62.03,Agadir shampoo moisturizing and restoring hair with extracts of hemp seed and red grape 430 ml.png,https://draljamal.com/gnBRAE
,,,,,,,,,,
